DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
858.2195	 65.1567
858.6855	 65.1726
859.1514	 65.1910
859.6173	 65.2123
860.0832	 65.2367
860.5491	 65.2643
861.0150	 65.2953
861.4810	 65.3297
861.9469	 65.3674
862.4128	 65.4083
862.8787	 65.4521
863.3446	 65.4987
863.8105	 65.5477
864.2765	 65.5987
864.7424	 65.6513
865.2083	 65.7053
865.6742	 65.7601
866.1401	 65.8153
866.6060	 65.8706
867.0720	 65.9256
867.5379	 65.9801
868.0038	 66.0336
868.4697	 66.0861
868.9356	 66.1374
869.4016	 66.1872
869.8675	 66.2357
870.3334	 66.2827
870.7993	 66.3284
871.2652	 66.3728
871.7311	 66.4161
872.1971	 66.4584
872.6630	 66.5000
873.1289	 66.5409
873.5948	 66.5815
874.0607	 66.6218
874.5266	 66.6622
874.9926	 66.7027
875.4585	 66.7434
875.9244	 66.7844
876.3903	 66.8259
876.8562	 66.8677
877.3221	 66.9099
877.7881	 66.9524
878.2540	 66.9951
878.7199	 67.0378
879.1858	 67.0804
879.6517	 67.1226
880.1176	 67.1644
880.5836	 67.2053
881.0495	 67.2454
881.5154	 67.2843
881.9813	 67.3220
882.4472	 67.3582
882.9132	 67.3929
883.3791	 67.4260
883.8450	 67.4574
884.3109	 67.4871
884.7768	 67.5153
885.2427	 67.5419
885.7087	 67.5671
886.1746	 67.5911
886.6405	 67.6139
887.1064	 67.6359
887.5723	 67.6573
888.0382	 67.6782
888.5042	 67.6989
888.9701	 67.7197
889.4360	 67.7406
889.9019	 67.7619
890.3678	 67.7838
890.8337	 67.8063
891.2997	 67.8296
891.7656	 67.8537
892.2315	 67.8786
892.6974	 67.9043
893.1633	 67.9308
893.6292	 67.9579
894.0952	 67.9855
894.5611	 68.0135
895.0270	 68.0418
895.4929	 68.0701
895.9588	 68.0982
896.4247	 68.1261
896.8907	 68.1535
897.3566	 68.1803
897.8225	 68.2064
898.2884	 68.2315
